care_team,age,occupation,intake_no_of_hh,income_assessment_salary,income_assessment_cpf_payout,income_assessment_assistance_from_other_agencies,income_assessment_assistance_from_relatives_friends,income_assessment_insurance_payout,income_assessment_rental_income,income_assessment_others_income,expenditure_assessment_mortgage_rental,expenditure_assessment_utilities,expenditure_assessment_s_cc_fees,expenditure_assessment_food_expenses,expenditure_assessment_marketing_groceries,expenditure_assessment_telecommunications,expenditure_assessment_transportation,expenditure_assessment_medical_expenses,expenditure_assessment_education_expense,expenditure_assessment_contribution_to_family_members,expenditure_assessment_domestic_helper,expenditure_assessment_loans_debts_installments,expenditure_assessment_insurance_premiums,expenditure_assessment_others_expenditure,current_savings,assessment_date_time,type_of_assistances,no_of_hh,before_primary,primary_7_12,secondary_13_17,tertiary_18_21,adult_22_64,elderly_65_and_above,income_total_cal,expenditure_total_cal,difference_cal,amount_total,points
central 1 1,63.0,NA,4.0,3000.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,300.0,75.0,1160.0,0.0,250.0,592.2,0.0,220.0,0.0,0.0,600.0,30.0,0.0,0.0,2021-09-19,household_living_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3360.0,3227.2,132.80000000000018,300.0,1
central 1 1,69.0,unemployed,2.0,500.0,0.0,240.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,0.0,125.0,358.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-16,medical_transport_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1383.0,-363.0,300.0,0
central 1 1,45.0,unemployed,3.0,0.0,0.0,630.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0,0.0,70.0,20.0,0.0,300.0,0.0,0.0,0.0,20.0,0.0,0.0,2021-11-02,household_living_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.0,976.0,-46.0,200.0,1
central 1 1,54.0,unemployed,5.0,700.0,0.0,740.0,0.0,0.0,0.0,0.0,400.0,70.0,0.0,936.0,0.0,80.0,90.0,0.0,900.0,0.0,810.0,88.0,0.0,0.0,0.0,2021-11-19,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,3374.0,-1934.0,454.4,1
central 1 1,61.0,unemployed,2.0,0.0,583.0,300.0,300.0,0.0,0.0,0.0,0.0,175.0,58.0,450.0,0.0,102.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,500.0,2021-11-17,medical_transport_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1183.0,885.0,298.0,200.0,0
central 1 1,36.0,employed,3.0,1984.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,140.0,38.0,537.0,0.0,225.0,116.0,240.0,681.0,0.0,0.0,0.0,0.0,150.0,0.0,2021-11-22,hiv_medication_fees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984.0,2265.0,-281.0,150.0,1
central 1 1,57.0,unemployed,2.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,110.0,46.0,330.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,2021-12-18,household_living_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,651.0,-151.0,300.0,0
central 1 1,67.0,unemployed,2.0,100.0,600.0,200.0,0.0,0.0,0.0,0.0,50.0,0.0,28.0,300.0,0.0,56.0,100.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-14,household_living_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1134.0,-234.0,200.0,0
east 4 4,41.0,NA,5.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,199.0,0.0,1260.0,0.0,600.0,270.0,0.0,0.0,0.0,0.0,0.0,200.0,396.0,0.0,2021-12-20,antenatal_check_fees_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2975.0,-975.0,800.0,1
central 1 1,60.0,unemployed,3.0,3305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,80.0,600.0,0.0,60.0,150.0,100.0,11.0,0.0,0.0,0.0,0.0,0.0,12500.0,2021-12-20,medical_transport_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3305.0,1151.0,2154.0,1420.0,0
central 1 1,48.0,unemployed,2.0,0.0,0.0,1645.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,500.0,0.0,30.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1153.0,2022-01-22,medical_transport_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1645.0,702.0,943.0,1040.0,1
east 1 1,44.0,unemployed,2.0,1664.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,78.0,0.0,300.0,0.0,77.9,128.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.4,2023-04-20,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1664.0,773.9,890.1,250.0,0
central 1 1,66.0,unemployed,1.0,0.0,0.0,0.0,0.0,0.0,850.0,0.0,0.0,190.0,31.25,550.0,0.0,158.95,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-19,medical_transport_assistance,5.0,0.0,0.0,0.0,0.0,5.0,0.0,850.0,1354.2,-504.20000000000005,430.0,1
central 1 1,64.0,employed,1.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4684.9,2022-03-20,medical_transport_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,515.0,-165.0,300.0,0
central 1 1,47.0,unemployed,3.0,0.0,0.0,1160.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,810.0,0.0,57.9,250.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,250.0,2022-03-22,interim_dialysis_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,1165.5,-5.5,1473.35,0
central 1 1,51.0,unemployed,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.9,194.0,31.5,700.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,1313.4,0.0,2022-03-20,household_living_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2478.8,-2478.8,350.0,0
central 2 2,86.0,unemployed,5.0,0.0,0.0,500.0,100.0,0.0,0.0,0.0,0.0,160.0,63.0,800.0,0.0,165.0,120.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2020-05-19,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,1563.0,-963.0,267.0,0
central 2 2,100.0,unemployed,2.0,0.0,0.0,800.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,40.0,180.0,0.0,0.0,0.0,680.0,0.0,0.0,100.0,0.0,2020-07-31,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1400.0,-500.0,452.25,0
central 2 2,55.0,unemployed,2.0,1080.0,0.0,166.0,0.0,0.0,0.0,0.0,50.0,85.0,31.0,300.0,0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0,400.0,1076.0,0.0,2020-09-13,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1246.0,2152.0,-906.0,264.0,0
central 2 2,53.0,unemployed,3.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,100.0,80.0,1500.0,0.0,230.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,2021-05-26,medical_consumables_assistance,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1000.0,2210.0,-1210.0,956.7,1
central 2 2,73.0,retired,3.0,0.0,0.0,1130.0,50.0,0.0,0.0,0.0,50.0,130.0,31.0,900.0,0.0,105.0,50.0,23.0,100.0,0.0,0.0,0.0,0.0,0.0,1315.0,2021-06-14,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,1389.0,-209.0,54.0,1
central 2 2,56.0,unemployed,2.0,0.0,0.0,300.0,600.0,0.0,0.0,0.0,0.0,283.0,63.0,492.5,0.0,64.3,200.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-09-30,household_living_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1266.8,-366.79999999999995,300.0,1
central 2 2,67.0,unemployed,2.0,0.0,0.0,360.0,400.0,0.0,1400.0,0.0,277.5,50.0,65.0,700.0,0.0,119.0,80.0,50.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,2021-09-22,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2160.0,1635.5,524.5,108.0,0
central 2 2,71.0,NA,1.0,0.0,670.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,200.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,2021-10-15,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,535.0,135.0,117.8,0
central 3 3,79.0,NA,1.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,110.0,50.0,22.0,340.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-08-16,household_living_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,562.0,-62.0,100.0,0
central 3 3,46.0,NA,3.0,1788.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,80.0,22.0,1100.0,0.0,155.0,90.0,80.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,2021-04-26,hiv_medication_fees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788.0,1703.0,85.0,856.41,0
north 2 2,45.0,unemployed,1.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,28.0,35.0,22.0,450.0,60.0,22.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,2024-10-11,medical_consumables_assistance,1.0,0.0,0.0,0.0,0.0,1.0,0.0,540.0,797.0,-257.0,247.62,2
central 3 3,74.0,NA,2.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,93.0,120.0,45.0,340.0,0.0,90.0,21.0,96.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,2020-12-13,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,857.0,-157.0,266.6,0
central 3 3,81.0,NA,1.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,79.0,0.0,68.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2352.0,2021-02-17,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,290.9,159.10000000000002,243.0,0
east 1 1,56.0,NA,4.0,0.0,0.0,370.0,1000.0,0.0,0.0,0.0,99.0,300.0,56.0,400.0,0.0,80.0,250.0,360.0,939.0,0.0,0.0,0.0,0.0,120.0,0.0,2021-08-18,medical_transport_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1370.0,2604.0,-1234.0,200.0,0
central 3 3,52.0,student,2.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,2250.0,300.0,0.0,1000.0,0.0,75.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-15,education_fees_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,4425.0,-2725.0,838.0,0
central 3 3,53.0,unemployed,4.0,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,150.0,35.0,1210.0,0.0,185.0,0.0,753.0,0.0,0.0,0.0,90.0,55.05,225.0,0.0,2022-03-17,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,2743.05,936.9499999999998,594.8,0
central 3 3,58.0,employed,4.0,1522.0,0.0,250.0,0.0,0.0,0.0,0.0,250.0,120.0,34.45,0.0,500.0,100.0,256.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,80.0,2021-02-14,interim_dialysis_assistance,4.0,0.0,0.0,0.0,0.0,3.0,1.0,1772.0,1560.45,211.54999999999995,850.0,1
east 3 3,53.0,unemployed,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-03-20,household_living_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.5,-103.5,100.0,0
east 3 3,47.0,employed,3.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,150.0,19.0,800.0,0.0,56.0,480.0,0.0,0.0,0.0,0.0,97.5,0.0,1713.5,0.0,2018-11-19,interim_dialysis_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,3427.0,-1927.0,850.0,0
east 3 3,79.0,retired,1.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,85.0,46.5,400.0,0.0,50.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,2020-02-07,household_living_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,641.5,-441.5,150.0,0
east 4 4,32.0,unemployed,6.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,400.0,0.0,100.0,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-05-22,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,1050.0,200.0,324.0,0
east 3 3,50.0,employed,2.0,0.0,0.0,0.0,0.0,0.0,1130.0,0.0,0.0,160.0,64.0,400.0,0.0,226.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2020-11-18,hiv_medication_fees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130.0,950.0,180.0,407.92,0
east 3 3,47.0,unemployed,3.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,200.0,0.0,110.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-21,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,510.0,-110.0,48.44,0
north 1 1,57.0,unemployed,2.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,138.5,42.0,846.0,0.0,260.0,70.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-18,hiv_medication_fees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.0,1934.5,55.5,80.0,0
east 3 3,59.0,employed,3.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,46.5,500.0,0.0,60.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-04-15,hiv_medication_fees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,791.5,-91.5,478.4,0
east 3 3,53.0,unemployed,4.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,60.0,43.0,250.0,0.0,44.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2021-06-13,interim_dialysis_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,437.0,63.0,1334.25,0
east 3 3,89.0,unemployed,4.0,1700.0,0.0,180.0,600.0,0.0,0.0,0.0,350.0,100.0,62.0,1000.0,0.0,90.0,255.5,554.0,0.0,0.0,0.0,0.0,0.0,600.0,1000.0,2021-08-19,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2480.0,3011.5,-531.5,216.0,0
east 3 3,66.0,unemployed,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,household_living_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0
east 3 3,70.0,retired,3.0,2600.0,554.0,340.0,0.0,0.0,0.0,0.0,0.0,100.0,67.5,1000.0,0.0,240.0,120.0,50.0,0.0,0.0,776.0,0.0,0.0,548.0,5000.0,2022-01-31,medical_transport_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3494.0,2901.5,592.5,910.0,0
east 3 3,50.0,unemployed,4.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,300.0,0.0,217.5,254.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0,2022-01-28,day_care_fees_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,1381.5,-131.5,150.0,0
north 2 2,66.0,unemployed,1.0,0.0,0.0,710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,50.0,0.0,300.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-16,medical_consumables_assistance,1.0,0.0,0.0,0.0,0.0,1.0,0.0,710.0,750.0,-40.0,297.0,1
east 4 4,55.0,unemployed,2.0,0.0,0.0,400.0,0.0,0.0,1000.0,0.0,120.0,129.0,51.0,300.0,125.0,149.0,50.0,0.0,0.0,0.0,0.0,54.0,24.0,0.0,0.0,2024-09-12,medical_consumables_assistance,6.0,0.0,0.0,0.0,1.0,5.0,0.0,1400.0,1002.0,398.0,49.2,2
east 4 4,0.0,part-time,3.0,600.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,46.0,1240.0,0.0,40.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,130.0,5812.13,2020-11-13,household_living_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,1486.0,-686.0,200.0,0
east 4 4,45.0,employed,5.0,1400.0,0.0,110.0,0.0,0.0,0.0,0.0,93.0,160.0,100.0,560.0,0.0,210.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,2021-01-16,hiv_medication_fees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1510.0,1513.0,-3.0,300.0,0
east 4 4,80.0,unemployed,3.0,0.0,0.0,1350.0,200.0,0.0,0.0,0.0,488.0,50.0,0.0,400.0,0.0,0.0,86.0,0.0,0.0,0.0,569.0,0.0,0.0,0.0,0.0,2021-01-30,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1550.0,1593.0,-43.0,405.0,0
east 3 3,48.0,unemployed,5.0,3300.0,297.0,530.0,0.0,0.0,0.0,0.0,0.0,202.0,63.0,1050.0,0.0,200.5,200.0,150.0,60.0,0.0,0.0,264.45,0.0,264.0,0.0,2021-05-11,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4127.0,2453.95,1673.0500000000002,108.0,0
east 4 4,94.0,unemployed,3.0,0.0,0.0,540.0,200.0,0.0,0.0,0.0,0.0,250.0,50.0,900.0,0.0,55.0,50.0,65.0,0.0,0.0,740.0,0.0,0.0,168.0,0.0,2021-06-06,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,2278.0,-1538.0,216.0,0
east 4 4,81.0,unemployed,1.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,20.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2022-04-16,household_living_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,450.0,0.0,150.0,0
north 1 1,63.0,NA,3.0,637.0,600.0,200.0,0.0,0.0,0.0,0.0,0.0,148.0,45.5,1200.0,0.0,99.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.17,2022-09-16,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1437.0,1676.5,-239.5,131.2,0
north 1 1,70.0,NA,2.0,0.0,1101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,600.0,0.0,69.5,60.0,0.0,0.0,0.0,0.0,750.0,0.0,200.0,2210.22,2020-09-14,household_living_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101.0,1699.5,-598.5,200.0,0
north 1 1,79.0,NA,6.0,1300.0,537.0,250.0,95.0,0.0,0.0,0.0,45.0,170.0,58.0,1050.0,0.0,220.0,175.0,0.0,0.0,0.0,0.0,0.0,30.0,234.0,4468.37,2021-02-10,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2182.0,1982.0,200.0,162.0,0
north 1 1,61.0,retired,2.0,0.0,250.0,240.0,0.0,0.0,0.0,0.0,0.0,60.0,45.5,300.0,0.0,108.0,235.0,2874.0,0.0,0.0,0.0,0.0,0.0,0.0,1106.0,2021-04-07,interim_dialysis_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,3622.5,-3132.5,2600.0,1
north 1 1,65.0,employed,6.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,200.0,63.0,200.0,0.0,37.0,302.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,2022-06-27,household_living_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,952.0,-252.0,729.6,0
north 1 1,65.0,employed,6.0,0.0,0.0,1730.0,0.0,0.0,0.0,0.0,0.0,260.0,63.0,900.0,0.0,60.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,2023-04-19,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730.0,1697.0,33.0,192.0,0
north 1 1,38.0,employed,6.0,2399.0,0.0,800.0,700.0,0.0,0.0,0.0,0.0,500.0,63.0,430.0,0.0,110.0,230.0,1017.0,130.0,0.0,865.0,0.0,46.5,300.0,207.5,2021-06-11,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3899.0,3691.5,207.5,158.0,1
north 1 1,65.0,NA,2.0,720.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,147.0,45.0,200.0,0.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.0,2021-06-18,hiv_medication_fees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0,442.0,428.0,210.0,0
north 1 1,45.0,NA,4.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,38.0,506.0,0.0,20.0,50.0,220.0,100.0,0.0,0.0,0.0,0.0,0.0,2000.0,2021-07-15,hiv_medication_fees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1109.0,391.0,506.86,1
north 1 1,62.0,NA,2.0,1600.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,55.5,1000.0,0.0,170.0,280.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,2022-01-13,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850.0,1805.5,44.5,91.0,0
north 1 1,60.0,employed,2.0,1355.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,110.0,26.0,400.0,0.0,150.0,100.0,30.0,0.0,0.0,0.0,200.0,0.0,100.0,31.47,2022-01-21,medical_transport_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1355.0,1160.0,195.0,150.0,0
north 2 2,57.0,unemployed,1.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,26.0,40.0,20.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.2,136.9,2019-07-20,medical_consumables_assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,291.2,-111.19999999999999,230.46,0
