,care_team,age,occupation,intake_no_of_hh,income_assessment_salary,income_assessment_cpf_payout,income_assessment_assistance_from_other_agencies,income_assessment_assistance_from_relatives_friends,income_assessment_insurance_payout,income_assessment_rental_income,income_assessment_others_income,expenditure_assessment_mortgage_rental,expenditure_assessment_utilities,expenditure_assessment_s_cc_fees,expenditure_assessment_food_expenses,expenditure_assessment_marketing_groceries,expenditure_assessment_telecommunications,expenditure_assessment_transportation,expenditure_assessment_medical_expenses,expenditure_assessment_education_expense,expenditure_assessment_contribution_to_family_members,expenditure_assessment_domestic_helper,expenditure_assessment_loans_debts_installments,expenditure_assessment_insurance_premiums,expenditure_assessment_others_expenditure,current_savings,assessment_date_time,type_of_assistances,no_of_hh,before_primary,primary_7_12,secondary_13_17,tertiary_18_21,adult_22_64,elderly_65_and_above,income_total_cal,expenditure_total_cal,difference_cal,amount_total,points
10,east 2 2,77,unemployed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.1472730051683,0.0,0.0,318.17672760620195,0.0,31.817672760620198,84.84712736165386,0.0,0.0,0.0,0.0,0.0,0.0,159.08836380310098,0.0,2021-06-15,others,0,0,0,0,0,0,0,0.0,859.0771645367453,-859.0771645367453,424.2356368082693,0
11,central 1 1,63,,4.0,3179.6180734714876,0.0,0.0,381.5541688165785,0.0,0.0,0.0,0.0,317.96180734714875,79.49045183678719,1229.4523217423086,0.0,264.96817278929063,627.6566077032717,0.0,233.17199205457575,0.0,0.0,635.9236146942975,31.796180734714877,0.0,0.0,2021-09-19,household_living_assistance,0,0,0,0,0,0,0,3561.172242288066,3420.4211489023946,140.75109338567137,317.96180734714875,1
12,central 1 1,69,unemployed,2.0,529.8932917428673,0.0,254.3487800365763,296.7402433760057,0.0,0.0,0.0,0.0,0.0,0.0,900.8185959628744,0.0,132.47332293571682,379.403596887893,52.98932917428673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-16,medical_transport_assistance,0,0,0,0,0,0,0,1080.9823151554492,1465.684844960771,-384.70252980532166,317.9359750457204,0
13,central 1 1,45,unemployed,3.0,0.0,0.0,667.5247823774457,317.86894398925983,0.0,0.0,0.0,0.0,0.0,0.0,599.7127409930703,0.0,74.16942026416064,21.191262932617324,0.0,317.86894398925983,0.0,0.0,0.0,21.191262932617324,0.0,0.0,2021-11-02,household_living_assistance,0,0,0,0,0,0,0,985.3937263667056,1034.1336311117254,-48.73990474501984,211.91262932617323,1
14,central 1 1,54,unemployed,5.0,741.6049390522171,0.0,783.9823641409153,0.0,0.0,0.0,0.0,423.77425088698124,74.16049390522171,0.0,991.631747075536,0.0,84.75485017739625,95.34920644957077,0.0,953.4920644957077,0.0,858.142858046137,93.23033519513586,0.0,0.0,0.0,2021-11-19,medical_consumables_assistance,0,0,0,0,0,0,0,1525.5873031931324,3574.535806231687,-2048.948503038554,481.40754900761067,1
15,central 1 1,61,unemployed,2.0,0.0,617.625013327071,317.81733104308967,317.81733104308967,0.0,0.0,0.0,0.0,185.393443108469,61.44468400166401,476.72599656463456,0.0,108.0578925546505,0.0,52.969555173848285,0.0,0.0,0.0,0.0,0.0,52.969555173848285,500.0,2021-11-17,medical_transport_assistance,0,0,0,0,0,0,0,1253.2596754132503,937.5611265771146,315.6985488361358,211.87822069539314,0
16,central 1 1,36,employed,3.0,2101.6502731543364,0.0,0.0,0.0,0.0,0.0,0.0,146.18333553190445,148.30193459758422,40.25338224791572,568.8438491350195,0.0,238.34239488897464,122.87874580942693,254.23188788157296,721.3829818639632,0.0,0.0,0.0,0.0,158.8949299259831,0.0,2021-11-22,hiv_medication_fees,0,0,0,0,0,0,0,2101.6502731543364,2399.3134418823447,-297.6631687280083,158.8949299259831,1
17,central 1 1,57,unemployed,2.0,529.6373306549946,0.0,0.0,0.0,0.0,0.0,0.0,100.63109282444898,116.52021274409881,48.72663442025951,349.56063823229647,0.0,0.0,74.14922629169925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,2021-12-18,household_living_assistance,0,0,0,0,0,0,0,529.6373306549946,689.587804512803,-159.95047385780836,317.78239839299675,0
18,central 1 1,67,unemployed,2.0,105.91808434433584,635.508506066015,211.83616868867168,0.0,0.0,0.0,0.0,52.95904217216792,0.0,29.657063616414035,317.7542530330075,0.0,59.31412723282807,105.91808434433584,635.508506066015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-14,household_living_assistance,0,0,0,0,0,0,0,953.2627590990226,1201.1110764647683,-247.84831736574586,211.83616868867168,0
19,east 4 4,41,,5.0,2118.2214034448484,0.0,0.0,0.0,0.0,0.0,0.0,52.95553508612121,210.7630296427624,0.0,1334.4794841702544,0.0,635.4664210334545,285.9598894650545,0.0,0.0,0.0,0.0,0.0,211.82214034448484,419.40783788207995,0.0,2021-12-20,antenatal_check_fees_assistance,0,0,0,0,0,0,0,2118.2214034448484,3150.854337624212,-1032.6329341793635,847.2885613779393,1
20,central 1 1,60,unemployed,3.0,3500.360869192612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.86660525836362,84.72885613779394,635.4664210334545,0.0,63.54664210334545,158.86660525836362,105.91107017224242,11.650217718946665,0.0,0.0,0.0,0.0,0.0,12500.0,2021-12-20,medical_transport_assistance,0,0,0,0,0,0,0,3500.360869192612,1219.0364176825103,2281.324451510102,1503.9371964458423,0
21,central 1 1,48,unemployed,2.0,0.0,0.0,1742.1423357008466,0.0,0.0,0.0,0.0,0.0,105.9053091611457,0.0,529.5265458057285,0.0,31.77159274834371,76.25182259602491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1153.0,2022-01-22,medical_transport_assistance,0,0,0,0,0,0,0,1742.1423357008466,743.4552703112428,998.687065389604,1101.4152152759152,1
22,east 1 1,44,unemployed,2.0,1710.3308584339325,0.0,0.0,0.0,0.0,0.0,0.0,51.39215319813499,80.17175898909058,0.0,308.35291918880995,0.0,80.06897468269432,131.56391218722558,0.0,0.0,0.0,0.0,0.0,0.0,143.89802895477797,0.4,2023-04-20,others,0,0,0,0,0,0,0,1710.3308584339325,795.4477472007334,914.8831112331991,256.96076599067493,0
23,central 1 1,66,unemployed,1.0,0.0,0.0,0.0,0.0,0.0,899.6258056634825,0.0,0.0,201.09282714830786,33.07447814939274,582.1108154293122,0.0,168.23002565907123,448.7545195309607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-19,medical_transport_assistance,5,0,0,0,0,5,0,899.6258056634825,1433.2626659170448,-533.6368602535622,455.1048193356441,1
24,central 1 1,64,employed,1.0,370.4019677271848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.24118063631087,0.0,0.0,322.77885759083244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4684.9,2022-03-20,medical_transport_assistance,0,0,0,0,0,0,0,370.4019677271848,545.0200382271433,-174.61807049995855,317.48740090901555,0
25,central 1 1,47,unemployed,3.0,0.0,0.0,1227.534565889439,0.0,0.0,0.0,0.0,0.0,42.328778134118586,0.0,857.1577572159014,0.0,61.270906349136645,264.55486333824115,0.0,0.0,0.0,0.0,8.04246784548253,0.0,0.0,250.0,2022-03-22,interim_dialysis_assistance,0,0,0,0,0,0,0,1227.534565889439,1233.3547728828803,-5.820206993441305,1559.1276315975904,0
26,central 1 1,51,unemployed,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.42280053906279,205.3085192544967,33.33617709544663,740.8039354543696,0.0,0.0,135.46129105451328,0.0,0.0,0.0,0.0,0.0,0.0,1389.95984117967,0.0,2022-03-20,household_living_assistance,0,0,0,0,0,0,0,0.0,2623.292564577559,-2623.292564577559,370.4019677271848,0
27,central 2 2,86,unemployed,5.0,0.0,0.0,531.8331505615388,106.36663011230776,0.0,0.0,0.0,0.0,170.18660817969243,67.01097697075389,850.9330408984621,0.0,175.50493968530782,127.6399561347693,271.2349067863848,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2020-05-19,medical_consumables_assistance,0,0,0,0,0,0,0,638.1997806738466,1662.5104286553703,-1024.3106479815237,283.9989023998617,0
28,central 2 2,100,unemployed,2.0,0.0,0.0,850.5276739783698,106.31595924729622,0.0,0.0,0.0,0.0,0.0,0.0,425.2638369891849,0.0,42.52638369891849,191.3687266451332,0.0,0.0,0.0,722.9485228816143,0.0,0.0,106.31595924729622,0.0,2020-07-31,medical_consumables_assistance,0,0,0,0,0,0,0,956.843633225666,1488.4234294621472,-531.5797962364811,480.8139256958972,0
29,central 2 2,55,unemployed,2.0,1147.7596160654275,0.0,176.41490395079717,0.0,0.0,0.0,0.0,53.137019262288305,90.33293274589012,32.94495194261875,318.82211557372983,0.0,212.54807704915322,0.0,10.627403852457661,0.0,0.0,0.0,0.0,425.09615409830644,1143.5086545244444,0.0,2020-09-13,medical_consumables_assistance,0,0,0,0,0,0,0,1324.1745200162245,2287.017309048889,-962.8427890326641,280.56346170488223,0
30,central 2 2,78,employed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-04-26,others,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
31,central 2 2,53,unemployed,3.0,0.0,0.0,1060.8189384480756,0.0,0.0,0.0,0.0,0.0,106.08189384480755,84.86551507584605,1591.2284076721135,0.0,243.98835584305738,318.24568153442266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,2021-05-26,medical_consumables_assistance,3,0,0,0,0,3,0,1060.8189384480756,2344.4098539702472,-1283.5909155221714,1014.885478413274,1
32,central 2 2,73,retired,3.0,0.0,0.0,1198.4450205019318,53.02854073017397,0.0,0.0,0.0,53.02854073017397,137.87420589845235,32.877695252707866,954.5137331431316,0.0,111.35993553336534,53.02854073017397,24.39312873588003,106.05708146034794,0.0,0.0,0.0,0.0,0.0,1315.0,2021-06-14,medical_consumables_assistance,0,0,0,0,0,0,0,1251.4735612321058,1473.132861484233,-221.65930025212722,57.27082398858789,1
33,central 2 2,56,unemployed,2.0,0.0,0.0,317.94660656001264,635.8932131200253,0.0,0.0,0.0,0.0,299.9296321882786,66.76878737760266,521.9623457693541,0.0,68.14655600602937,211.96440437334178,173.81081158614026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-09-30,household_living_assistance,0,0,0,0,0,0,0,953.839819680038,1342.5825373007467,-388.74271762070885,317.94660656001264,1
34,central 2 2,67,unemployed,2.0,0.0,0.0,381.5428891878863,423.93654354209593,0.0,1483.7779023973358,0.0,294.10597708232905,52.99206794276199,68.88968832559058,741.8889511986679,0.0,126.12112170377354,84.78730870841919,52.99206794276199,0.0,0.0,0.0,0.0,0.0,311.5933595034405,0.0,2021-09-22,medical_consumables_assistance,0,0,0,0,0,0,0,2289.257335127318,1733.3705424077448,555.8867927195732,114.4628667563659,0
35,central 2 2,71,,1.0,0.0,710.0418787494684,0.0,0.0,0.0,0.0,0.0,21.1952799626707,0.0,0.0,211.952799626707,0.0,68.88465987867977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.9409995333837,0.0,2021-10-15,medical_consumables_assistance,0,0,0,0,0,0,0,710.0418787494684,566.9737390014412,143.06813974802722,124.84019898013041,0
36,central 3 3,79,,1.0,0.0,0.0,530.0048619776364,0.0,0.0,0.0,0.0,116.60106963508002,53.00048619776364,23.320213927016002,360.4033061447928,0.0,42.40038895821092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-08-16,household_living_assistance,0,0,0,0,0,0,0,530.0048619776364,595.7254648628634,-65.72060288522692,106.00097239552728,0
37,central 3 3,46,,3.0,1897.1318291080079,0.0,0.0,0.0,0.0,0.0,0.0,27.586928163762977,84.88285588850147,23.342785369337903,1167.1392684668951,0.0,164.46053328397159,95.49321287456415,84.88285588850147,0.0,0.0,0.0,0.0,0.0,159.15535479094024,0.0,2021-04-26,hiv_medication_fees,0,0,0,0,0,0,0,1897.1318291080079,1806.943794726475,90.1880343815328,908.6815826433942,0
38,north 2 2,45,unemployed,1.0,0.0,0.0,524.2509271983429,0.0,0.0,0.0,0.0,27.183381410284444,33.97922676285555,21.358371108080636,436.8757726652857,58.2501030220381,21.358371108080636,72.81262877754762,0.0,0.0,0.0,0.0,0.0,0.0,101.93768028856667,0.0,2024-10-11,medical_consumables_assistance,1,0,0,0,0,1,0,524.2509271983429,773.7555351427394,-249.5046079443965,240.3981751719512,2
39,central 3 3,74,,2.0,0.0,0.0,743.5476035647571,0.0,0.0,0.0,0.0,98.78561018788915,127.46530346824407,47.799488800591526,361.1516931600249,0.0,95.59897760118305,22.30642810694271,101.97224277459526,0.0,0.0,0.0,0.0,0.0,55.234964836239094,0.0,2020-12-13,medical_consumables_assistance,0,0,0,0,0,0,0,743.5476035647571,910.3147089357097,-166.76710537095266,283.1854158719489,0
40,central 3 3,81,,1.0,0.0,0.0,477.7192304454038,0.0,0.0,0.0,0.0,0.0,0.0,45.64872646478303,83.86626490041533,0.0,73.14412217264072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.15982898786751,2352.0,2021-02-17,medical_consumables_assistance,0,0,0,0,0,0,0,477.7192304454038,308.8189425257066,168.90028791969723,257.96838444051804,0
41,east 1 1,56,,4.0,0.0,0.0,392.2184495831216,1060.0498637381663,0.0,0.0,0.0,104.94493651007848,318.0149591214499,59.36279236933732,424.01994549526654,0.0,84.80398909905331,265.0124659345416,381.6179509457399,995.3868220501382,0.0,0.0,0.0,0.0,127.20598364857997,0.0,2021-08-18,medical_transport_assistance,0,0,0,0,0,0,0,1452.268313321288,2760.3698451741852,-1308.1015318528973,212.00997274763327,0
42,central 3 3,52,student,2.0,0.0,0.0,0.0,0.0,0.0,1800.464134127262,0.0,2382.967236344906,317.72896484598743,0.0,1059.0965494866248,0.0,79.43224121149686,0.0,0.0,847.2772395892998,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-15,education_fees_assistance,0,0,0,0,0,0,0,1800.464134127262,4686.502231478315,-2886.0380973510523,887.5229084697916,0
43,central 3 3,53,unemployed,4.0,3894.7012029558473,0.0,0.0,0.0,0.0,0.0,0.0,42.33370872778095,158.75140772917857,37.04199513680833,1280.5946890153737,0.0,195.79340286598688,0.0,796.9320668004764,0.0,0.0,0.0,95.25084463750713,58.26176663660853,238.12711159376784,0.0,2022-03-17,medical_consumables_assistance,0,0,0,0,0,0,0,3894.7012029558473,2903.0869931434886,991.6142098123588,629.5022487821027,0
44,central 3 3,58,employed,4.0,1615.7954139393516,0.0,265.4066054433889,0.0,0.0,0.0,0.0,265.4066054433889,127.39517061282667,36.57303023009899,0.0,530.8132108867778,106.16264217735556,271.77636397403023,0.0,318.4879265320667,0.0,0.0,0.0,0.0,0.0,80.0,2021-02-14,interim_dialysis_assistance,4,0,0,0,0,3,1,1881.2020193827404,1656.6149498565449,224.58706952619565,902.3824585075223,1
45,east 3 3,53,unemployed,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.564916210511704,55.174460345247525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-03-20,household_living_assistance,0,0,0,0,0,0,0,0.0,106.73937655575922,-106.73937655575922,103.12983242102341,0
46,east 3 3,47,employed,3.0,1633.2051677322481,0.0,0.0,0.0,0.0,0.0,0.0,120.85718241218636,163.3205167732248,20.68726545794181,871.0427561238656,0.0,60.97299292867059,522.6256536743193,0.0,0.0,0.0,0.0,106.15833590259612,0.0,1865.6647032728047,0.0,2018-11-19,interim_dialysis_assistance,0,0,0,0,0,0,0,1633.2051677322481,3731.3294065456093,-2098.1242388133614,925.4829283816072,0
47,east 3 3,79,retired,1.0,0.0,0.0,213.38681849510937,0.0,0.0,0.0,0.0,0.0,90.68939786042148,49.61243530011293,426.77363699021873,0.0,53.34670462377734,42.677363699021875,21.338681849510937,0.0,0.0,0.0,0.0,0.0,0.0,300.0,2020-02-07,household_living_assistance,0,0,0,0,0,0,0,213.38681849510937,684.4382203230632,-471.0514018279539,160.040113871332,0
48,east 4 4,32,unemployed,6.0,1329.6262843622844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.7402054979655,0.0,425.480410995931,0.0,106.37010274898275,53.18505137449137,0.0,319.11030824694825,0.0,0.0,0.0,0.0,0.0,0.0,2020-05-22,medical_consumables_assistance,0,0,0,0,0,0,0,1329.6262843622844,1116.886078864319,212.7402054979655,344.6391329067041,0
49,east 3 3,50,employed,2.0,0.0,0.0,0.0,0.0,0.0,1200.4487091061276,0.0,0.0,169.97503845750478,67.99001538300192,424.937596143762,0.0,240.08974182122552,53.11719951797025,0.0,0.0,0.0,0.0,0.0,0.0,53.11719951797025,0.0,2020-11-18,hiv_medication_fees,0,0,0,0,0,0,0,1200.4487091061276,1009.2267908414346,191.22191826469287,433.3513605474085,0
50,east 3 3,47,unemployed,3.0,0.0,0.0,423.6536729464212,0.0,0.0,0.0,0.0,0.0,169.46146917856848,0.0,211.8268364732106,0.0,116.50476006026582,42.36536729464212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-21,medical_consumables_assistance,0,0,0,0,0,0,0,423.6536729464212,540.158433006687,-116.50476006026582,51.3044597938116,0
51,north 1 1,57,unemployed,2.0,2112.9887984987645,0.0,0.0,0.0,0.0,0.0,0.0,318.5410248993112,147.05977316184868,44.59574348590357,898.2856902160576,0.0,276.0688882460697,74.32623914317261,295.1813497400284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-18,hiv_medication_fees,0,0,0,0,0,0,0,2112.9887984987645,2054.0587088923917,58.930089606372576,84.94427330648298,0
52,east 3 3,59,employed,3.0,742.8206944584963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.19965575567454,49.34451756045725,530.5862103274974,0.0,63.67034523929968,53.058621032749734,53.058621032749734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-04-15,hiv_medication_fees,0,0,0,0,0,0,0,742.8206944584963,839.9179709484283,-97.09727648993201,507.6648860413494,0
53,east 3 3,53,unemployed,4.0,0.0,0.0,530.3189042090786,0.0,0.0,0.0,0.0,0.0,63.63826850508943,45.60742576198076,265.1594521045393,0.0,46.668063570398914,42.425512336726285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2021-06-13,interim_dialysis_assistance,0,0,0,0,0,0,0,530.3189042090786,463.49872227873465,66.8201819303439,1415.1559958819262,0
54,east 3 3,89,unemployed,4.0,1802.1191234920461,0.0,190.8126130756284,636.042043585428,0.0,0.0,0.0,371.02452542483303,106.00700726423801,65.72434450382757,1060.0700726423802,0.0,95.4063065378142,270.8479035601281,587.2788202438786,0.0,0.0,0.0,0.0,0.0,636.042043585428,1000.0,2021-08-19,medical_consumables_assistance,0,0,0,0,0,0,0,2628.973780153103,3192.4010237625275,-563.427243609425,228.9751356907541,0
55,east 3 3,66,unemployed,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,household_living_assistance,0,0,0,0,0,0,0,0.0,0.0,0.0,380.0,0
56,east 3 3,70,retired,3.0,2752.976260256888,586.5957108393524,360.0045878797469,0.0,0.0,0.0,0.0,0.0,105.88370231757263,71.47149906436152,1058.8370231757262,0.0,254.1208855621743,127.06044278108715,52.941851158786314,0.0,0.0,821.6575299843636,0.0,0.0,580.242688700298,5000.0,2022-01-31,medical_transport_assistance,0,0,0,0,0,0,0,3699.5765589759876,3072.2156227443697,627.3609362316178,963.5416910899108,0
57,east 3 3,50,unemployed,4.0,1323.7300644736888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.97649134736923,0.0,317.6952154736853,0.0,230.32903121842187,268.9819491010536,0.0,0.0,0.0,0.0,0.0,0.0,413.00378011579096,0.0,2022-01-28,day_care_fees_assistance,0,0,0,0,0,0,0,1323.7300644736888,1462.986467256321,-139.25640278263208,158.84760773684266,0
58,north 2 2,66,unemployed,1.0,0.0,0.0,751.8982527944484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.7034870962458,52.95058118270763,0.0,317.7034870962458,105.90116236541526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-16,medical_consumables_assistance,1,0,0,0,0,1,0,751.8982527944484,794.2587177406144,-42.360464946166104,314.5264522252833,1
59,east 3 3,65,unemployed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.53767695452159,31.748740090901553,52.914566818169256,0.0,84.66330690907081,21.165826727267703,84.66330690907081,0.0,0.0,0.0,0.0,0.0,74.08039354543696,57000.0,2022-03-20,medical_consumables_assistance,0,0,0,0,0,0,0,0.0,449.77381795443864,-449.77381795443864,0.0,0
60,east 4 4,55,unemployed,2.0,0.0,0.0,389.3827205740603,0.0,0.0,973.4568014351507,0.0,116.81481617221809,125.57592738513445,49.64629687319269,292.03704043054523,121.68210017939384,145.04506341383745,48.672840071757534,0.0,0.0,0.0,0.0,52.56666727749814,23.36296323444362,0.0,0.0,2024-09-12,medical_consumables_assistance,6,0,0,0,1,5,0,1362.8395220092111,975.403715038021,387.43580697119,47.89407463060942,2
61,east 4 4,0,part-time,3.0,637.447954764257,0.0,0.0,212.4826515880857,0.0,0.0,0.0,0.0,0.0,48.87100986525971,1317.3924398461313,0.0,42.496530317617136,0.0,31.872397738212854,0.0,0.0,0.0,0.0,0.0,138.1137235322557,5812.13,2020-11-13,household_living_assistance,0,0,0,0,0,0,0,849.9306063523428,1578.7461012994768,-728.8154949471339,212.4826515880857,0
62,east 4 4,45,employed,5.0,1486.6901818703043,0.0,116.81137143266676,0.0,0.0,0.0,0.0,98.75870493852736,169.9074493566062,106.19215584787888,594.6760727481217,0.0,223.00352728054563,201.76509611096986,0.0,0.0,0.0,0.0,0.0,0.0,212.38431169575776,0.0,2021-01-16,hiv_medication_fees,0,0,0,0,0,0,0,1603.501553302971,1606.6873179784075,-3.185764675436366,318.5764675436366,0
63,east 4 4,80,unemployed,3.0,0.0,0.0,1433.487041196112,212.36845054757214,0.0,0.0,0.0,518.1790193360761,53.092112636893035,0.0,424.7369010951443,0.0,0.0,91.31843373545603,0.0,0.0,0.0,604.1882418078427,0.0,0.0,0.0,0.0,2021-01-30,medical_consumables_assistance,0,0,0,0,0,0,0,1645.855491743684,1691.514708611412,-45.65921686772801,430.04611235883357,0
64,east 3 3,48,unemployed,5.0,3501.196106214772,315.1076495593295,562.3133140284331,0.0,0.0,0.0,0.0,0.0,214.31564044102544,66.8410165731911,1114.0169428865183,0.0,212.72418766547327,212.19370340695588,159.1452775552169,63.658111022086764,0.0,0.0,280.5731243298474,0.0,280.09568849718175,0.0,2021-05-11,medical_consumables_assistance,0,0,0,0,0,0,0,4378.617069802534,2603.563692377497,1775.0533774250378,114.58459983975617,0
